R,I,A,S,E,C,numerical_reasoning,analytical_thinking,creativity,communication,risk_tolerance,domain_exposure,career_cluster
0.3606521457174703,0.8358063516339028,0.3765990134708945,0.12163380076195586,0.5808888652811208,0.45430248943167445,0.899685405502124,0.7752151634295227,0.5812943491748087,0.5096277019622844,0.6291504168088582,0.5581846381289579,software_engineering
0.2832515009310709,0.9633915943626714,0.3696702089193077,0.08490182496268098,0.41694116517508917,0.854259288037135,0.9690719165334674,0.946407565976403,0.4544676719273947,0.2871110056993302,0.28218393053161095,0.7571341091935015,data_science
0.33471508910589176,0.7315562035773905,0.27567047470851513,0.8574750494021699,0.6815384586576341,0.6860953950774359,0.7115055278307082,0.8064947340024017,0.09889969521729242,0.734317577404846,0.1354029308883513,0.8996675755963158,medicine
0.2074445177147046,0.507898888285735,0.5884141608117144,0.7959568601227854,0.9189264342086221,0.32374111131923866,0.6293731990530645,0.28100323893408413,0.6390157022725876,0.8718338960764862,0.8116991896126574,0.6641338032340685,marketing
0.1910615508475541,0.21625503371277896,0.9391390955464862,0.2524625324523764,0.4526890617616879,0.13099715223244351,0.4492030159138238,0.22263584401226508,0.7527845954153989,0.7245829847561505,0.6904654627061493,0.2749638446952494,graphic_design
0.7201367898154498,0.8305707119937297,0.8533023191255013,0.218670664737137,0.37109193097961846,0.5012581786583336,0.7633847053385003,0.8396173683106406,0.7319520939844704,0.1685015092519197,0.5970673993917593,0.7020564558244768,architecture
0.1357343456860939,0.6320482157212317,0.49840172336947053,0.9807380351112439,0.7073517695052194,0.4650560531117153,0.07851098180478998,0.8056421487822866,0.9219249934407,0.8554570863201745,0.29181259437808466,0.5883131701630788,education
0.49831708078112513,0.7663289793753435,0.27320372935201287,0.21766697293942813,0.6927961671580827,0.9268295036323815,0.8295859389122254,0.5727235239957231,0.14774977726770747,0.7171818091231961,0.6223460444347461,0.42073638015573794,finance
0.251410711570198,0.7057430354519838,0.7518285569871328,0.8870279502567919,0.3733777428466569,0.3126169742214779,0.3434007998998015,0.5574503911641497,0.7909897334466982,0.9855253099932619,0.17446143909811487,0.7491998769057564,psychology
0.5054453668265276,0.5528673944355734,0.5577363032275359,0.7664221037470399,0.9827461163721992,0.08237818745004714,0.352380832406681,0.44657508136782126,0.3549997105246088,0.909846244881368,0.7108654911393493,0.9701824220915792,entrepreneurship
0.16451092969941458,0.6552475580513516,0.29806092566627485,0.05241267349241104,0.23528979927208035,0.44177533449795703,0.8519102089959905,0.8034263668017089,0.25536145026594603,0.6801711948280502,0.4755470382150718,0.6127050582208324,software_engineering
0.17605598753440005,0.9837787671468066,0.2494611692896716,0.100127193963819,0.4578011135458344,0.6589465159597047,0.8949301616304159,0.8943649941740889,0.4095484663882732,0.5379609141042391,0.3456091266229792,0.6623489017228621,data_science
0.5499662699065943,0.8595135558599217,0.090135127364175,0.5056955758271943,0.4901737004721567,0.7818369136101747,0.47647832980533433,0.4981432968948285,0.24068411909954066,0.9061941386610889,0.20261988288596655,0.6847362153943142,medicine
0.1696556667972641,0.17285992297969027,0.5447264586724138,0.9686097755534622,0.9794672756149285,0.4634424282647629,0.5641261621431285,0.7066159468131702,0.6605657225263457,0.8995307011416378,0.8455169004413646,0.4083875220141453,marketing
0.5770904439212429,0.18755576430371132,0.9249452042997122,0.268615597511552,0.637608388688568,0.11242578520413551,0.3987068264436183,0.18680548493425653,0.8519094853858852,0.7068462625319384,0.6882385159454307,0.2835686170299428,graphic_design
0.33942692602747876,0.8588641690762836,0.7407804495346335,0.16500481077270482,0.6275790474845414,0.39214647886161963,0.48390081040618776,0.7554639405521291,0.9431255273591839,0.5007398300599829,0.5336875220522128,0.3953922961800008,architecture
0.4528016195589047,0.7262860769016535,0.7468297573203299,0.9921321517383086,0.3004523806510836,0.2722778943091522,0.4336070140460751,0.6004285503376371,0.7199789405940034,0.8870867124011733,0.19157472250998764,0.5163351546608979,education
0.17302686983347285,0.7914089998664142,0.3508601244116121,0.16303524690411916,0.4733687886031467,0.5661122357809706,0.9898227883736953,0.6814530841718888,0.1597723770518115,0.3641573314737067,0.46301480414140006,0.8401762108153816,finance
0.2979613946913954,0.6142956967010768,0.7330931533770392,0.9175252777219016,0.610156357317843,0.2467202275195979,0.17253879371128078,0.5518114185018494,0.8220301740851854,0.9934841073466663,0.17430160190538907,0.6418286785547359,psychology
0.8380340175566249,0.4233509851614218,0.4752491246531932,0.6308696573432835,0.9225338251961207,0.27689621762346256,0.35842718023938325,0.7760677447587389,0.8608211812486081,0.8391179820608433,0.8079619309447409,0.6265349012649785,entrepreneurship
0.22218834796266954,0.5992007888217862,0.10469507483057838,0.1652535698057863,0.24961527867724206,0.574644197577038,0.8841702214332628,0.691670021531604,0.5640699063025598,0.364344829322996,0.2226738224874507,0.8572987857567761,software_engineering
0.11071869399201048,0.8701443582192239,0.45442874729501526,0.530291614465301,0.18826621604284374,0.8175432379173688,0.9769687291700536,0.7824757668135756,0.46109577138338514,0.46287549432925684,0.17897026123448664,0.6782844287904299,data_science
0.5019419728025384,0.9631728289447619,0.4845408544245414,0.8753426588020177,0.6929718160220856,0.6777046022843913,0.5471075761667284,0.6563485537655785,0.38021712127960267,0.9762193272434416,0.20133201380123927,0.6677505326886205,medicine
